Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Derrick Rose,PG,34,NYK,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.4,0.4,0.917,0.3,1.7,0.3,0.8,5.6,5.479
Terrence Ross,SG,31,TOT,3.2,7.4,0.43,1.5,4.1,0.368,1.7,3.3,0.507,0.4,0.5,0.794,0.3,1.5,0.6,0.7,8.3,8.539
Terry Rozier,SG,28,CHO,7.8,18.9,0.415,2.6,8.0,0.327,5.2,10.8,0.48,2.8,3.5,0.809,0.8,5.1,1.2,2.1,21.1,20.909000000000002
Ricky Rubio,PG,32,CLE,1.8,5.4,0.343,0.6,2.5,0.256,1.2,2.9,0.417,0.8,1.1,0.8,0.3,3.5,0.8,0.9,5.2,5.238999999999999
D'Angelo Russell,PG,26,TOT,6.3,13.4,0.469,2.7,6.9,0.396,3.5,6.5,0.548,2.5,3.0,0.829,0.5,6.2,1.0,2.6,17.8,16.35
Matt Ryan,SF,25,TOT,1.2,3.2,0.37,0.9,2.5,0.381,0.2,0.7,0.333,0.3,0.4,0.833,0.1,0.5,0.1,0.2,3.6,3.403
Domantas Sabonis,C,26,SAC,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,4.1,5.5,0.742,3.2,7.3,0.8,2.9,19.1,20.461
Luka Šamanić,PF,23,UTA,3.7,8.1,0.456,1.1,4.4,0.258,2.6,3.7,0.692,1.3,1.9,0.692,0.0,2.1,0.9,1.4,9.9,9.225000000000001
Dario Šarić,PF-C,28,TOT,2.2,4.9,0.458,0.8,2.0,0.391,1.4,2.8,0.506,1.1,1.3,0.829,0.9,1.3,0.4,1.0,6.4,6.672000000000001
Olivier Sarr,C,23,OKC,1.7,3.3,0.5,0.1,0.9,0.125,1.6,2.4,0.636,0.6,0.8,0.714,1.3,0.4,0.1,0.4,4.0,5.289
Jordan Schakel,SF,24,WAS,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,1.5,2.075
Admiral Schofield,PF,25,ORL,1.5,3.3,0.451,0.6,2.0,0.324,0.8,1.3,0.646,0.6,0.6,0.913,0.6,0.8,0.2,0.4,4.2,4.478000000000001
Dennis Schröder,PG,29,LAL,4.1,9.8,0.415,1.1,3.4,0.329,3.0,6.4,0.461,3.3,3.8,0.857,0.3,4.5,0.8,1.7,12.6,11.919
Jay Scrubb,SG,22,ORL,2.5,3.5,0.714,1.0,1.0,1.0,1.5,2.5,0.6,0.5,1.0,0.5,0.0,0.5,1.0,1.5,6.5,5.925000000000001
Dereon Seabron,SG,22,NOP,0.4,1.0,0.4,0.0,0.0,,0.4,1.0,0.4,0.0,0.0,,0.2,0.0,0.0,0.0,0.8,1.036
Alperen Şengün,C,20,HOU,5.9,10.7,0.553,0.3,0.8,0.333,5.6,9.9,0.57,2.7,3.8,0.715,3.2,3.9,0.9,2.6,14.8,16.621000000000002
Collin Sexton,PG,24,UTA,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,3.4,4.1,0.819,0.8,2.9,0.6,1.8,14.3,13.764000000000001
Landry Shamet,SG,25,PHO,2.8,7.5,0.377,1.9,5.0,0.377,1.0,2.5,0.376,1.1,1.3,0.882,0.3,2.3,0.7,0.9,8.7,8.923999999999998
Day'Ron Sharpe,C,21,BRK,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.7,1.1,0.636,2.1,0.8,0.3,0.9,4.7,6.388
Shaedon Sharpe,SG,19,POR,3.8,8.1,0.472,1.3,3.5,0.36,2.6,4.6,0.559,0.9,1.3,0.714,0.8,1.2,0.5,1.0,9.9,10.369000000000002
Pascal Siakam,PF,28,TOR,8.9,18.5,0.48,1.3,4.0,0.324,7.6,14.5,0.523,5.2,6.7,0.774,1.8,5.8,0.9,2.4,24.2,24.698999999999998
Chris Silva,PF,26,DAL,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.8500000000000001
Ben Simmons,PG,26,BRK,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.6,1.4,0.439,1.0,6.1,1.3,2.3,6.9,7.029999999999999
Kobi Simmons,SG,25,CHO,0.2,1.2,0.167,0.2,1.0,0.2,0.0,0.2,0.0,0.4,0.4,1.0,0.2,1.0,0.0,0.2,1.0,1.006
Marko Simonovic,C,23,CHI,0.3,1.0,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.1,0.3,0.5,0.1,0.0,0.0,0.0,0.9,0.718
Anfernee Simons,SG,23,POR,7.5,16.9,0.447,3.4,9.1,0.377,4.1,7.8,0.528,2.6,2.9,0.894,0.3,4.1,0.7,2.1,21.1,19.744
Jericho Sims,C,24,NYK,1.6,2.1,0.776,0.0,0.0,0.0,1.6,2.0,0.783,0.2,0.3,0.75,1.9,0.5,0.3,0.5,3.4,5.412
Marcus Smart,PG,28,BOS,4.1,9.9,0.415,1.9,5.6,0.336,2.2,4.3,0.519,1.4,1.9,0.746,0.8,6.3,1.5,2.3,11.5,11.524
Dennis Smith Jr.,PG,25,CHO,3.4,8.4,0.412,0.4,2.1,0.216,3.0,6.3,0.475,1.4,2.0,0.736,0.5,4.8,1.4,1.5,8.8,9.075
Dru Smith,SG,25,TOT,1.2,3.0,0.4,0.3,1.3,0.263,0.9,1.7,0.5,0.2,0.2,1.0,0.1,1.5,0.7,0.2,2.9,3.5930000000000004
Ish Smith,PG,34,DEN,1.2,3.0,0.397,0.0,0.3,0.167,1.2,2.8,0.42,0.0,0.1,0.5,0.1,2.3,0.2,1.0,2.5,1.5979999999999999
Jabari Smith Jr.,PF,19,HOU,4.6,11.3,0.408,1.5,4.9,0.307,3.1,6.3,0.487,2.1,2.6,0.786,1.5,1.3,0.5,1.3,12.8,13.649999999999999
Jalen Smith,C,22,IND,3.6,7.5,0.476,0.8,2.8,0.283,2.8,4.7,0.593,1.5,2.0,0.759,1.9,1.0,0.3,1.1,9.4,10.822000000000001
Xavier Sneed,SF,25,CHO,1.3,2.5,0.5,0.8,1.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.3,0.0,0.8,4.3,3.4800000000000004
Jeremy Sochan,PF,19,SAS,4.5,9.9,0.453,0.6,2.4,0.246,3.9,7.5,0.519,1.4,2.1,0.698,1.7,2.5,0.8,1.7,11.0,11.971
Jaden Springer,SG,20,PHI,1.1,2.2,0.486,0.1,0.3,0.4,0.9,1.9,0.5,0.4,0.5,0.75,0.4,0.5,0.4,0.2,2.6,3.202
